source_definition,source_module,broad6_module,assignment_status,evidence_source,definition_version,notes
core10_alias,mapk signalling,MAPK,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'MAPK signaling'; inherits its frozen Broad6 assignment.
core10_alias,mapk signaling pathway,MAPK,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'MAPK signaling'; inherits its frozen Broad6 assignment.
core10_alias,mapk,MAPK,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'MAPK signaling'; inherits its frozen Broad6 assignment.
core10_alias,information exchange,Information Exchange,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Information exchange'; inherits its frozen Broad6 assignment.
core10_alias,plant-pathogen interaction,Information Exchange,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Information exchange'; inherits its frozen Broad6 assignment.
core10_alias,plant pathogen interaction,Information Exchange,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Information exchange'; inherits its frozen Broad6 assignment.
core10_alias,defense,Information Exchange,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Information exchange'; inherits its frozen Broad6 assignment.
core10_alias,ppi,Information Exchange,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Information exchange'; inherits its frozen Broad6 assignment.
core10_alias,protein processing in endoplasmic reticulum,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Protein processing in endoplasmic reticulum'; inherits its frozen Broad6 assignment.
core10_alias,protein processing in the endoplasmic reticulum,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Protein processing in endoplasmic reticulum'; inherits its frozen Broad6 assignment.
core10_alias,protein processing in er,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Protein processing in endoplasmic reticulum'; inherits its frozen Broad6 assignment.
core10_alias,pper,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Protein processing in endoplasmic reticulum'; inherits its frozen Broad6 assignment.
core10_alias,rna transport,RNA regulation,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'RNA transport'; inherits its frozen Broad6 assignment.
core10_alias,rna_t,RNA regulation,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'RNA transport'; inherits its frozen Broad6 assignment.
core10_alias,rna degradation,RNA regulation,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'RNA degradation'; inherits its frozen Broad6 assignment.
core10_alias,rna_d,RNA regulation,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'RNA degradation'; inherits its frozen Broad6 assignment.
core10_alias,snare interactions,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'SNARE interactions'; inherits its frozen Broad6 assignment.
core10_alias,snare interactions in vesicular transport,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'SNARE interactions'; inherits its frozen Broad6 assignment.
core10_alias,snare,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'SNARE interactions'; inherits its frozen Broad6 assignment.
core10_alias,autophagy,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Autophagy'; inherits its frozen Broad6 assignment.
core10_alias,autophagy - other,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Autophagy'; inherits its frozen Broad6 assignment.
core10_alias,autophagy other,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Autophagy'; inherits its frozen Broad6 assignment.
core10_alias,sulfur relay system,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Sulfur relay system'; inherits its frozen Broad6 assignment.
core10_alias,srs,Proteostasis,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Sulfur relay system'; inherits its frozen Broad6 assignment.
